变量名,变量类型,通道名称,读写类型,寄存器名称,数据类型,寄存器地址
DOOR1,INTEGER,读写00001,读写,[0区]输出继电器,NULL,1
DOOR2,INTEGER,读写00002,读写,[0区]输出继电器,NULL,2
DOOR3,INTEGER,读写00003,读写,[0区]输出继电器,NULL,3
DOOR4,INTEGER,读写00004,读写,[0区]输出继电器,NULL,4
DOOR5,INTEGER,读写00005,读写,[0区]输出继电器,NULL,5
DOOR6,INTEGER,读写00006,读写,[0区]输出继电器,NULL,6
DOOR7,INTEGER,读写00007,读写,[0区]输出继电器,NULL,7
DOOR8,INTEGER,读写00008,读写,[0区]输出继电器,NULL,8
DOOR9,INTEGER,读写00009,读写,[0区]输出继电器,NULL,9
DOOR10,INTEGER,读写00010,读写,[0区]输出继电器,NULL,10
DOOR11,INTEGER,读写00011,读写,[0区]输出继电器,NULL,11
DOOR12,INTEGER,读写00012,读写,[0区]输出继电器,NULL,12
数粒完成信号,INTEGER,读写00013,读写,[0区]输出继电器,NULL,13
振动器启动信号,INTEGER,读写00014,读写,[0区]输出继电器,NULL,14
预数粒标志信号,INTEGER,读写00015,读写,[0区]输出继电器,NULL,15
剔除信号,INTEGER,读写00016,读写,[0区]输出继电器,NULL,16
,INTEGER,读写00017,读写,[0区]输出继电器,NULL,17
,INTEGER,读写00018,读写,[0区]输出继电器,NULL,18
,INTEGER,读写00019,读写,[0区]输出继电器,NULL,19
,INTEGER,读写00020,读写,[0区]输出继电器,NULL,20
虚拟输入0装瓶完成信号,INTEGER,读写00021,读写,[0区]输出继电器,NULL,21
虚拟输入1模拟下料一粒,INTEGER,读写00022,读写,[0区]输出继电器,NULL,22
虚拟输入2数粒完成应答信号,INTEGER,读写00023,读写,[0区]输出继电器,NULL,23
虚拟输入3复位,INTEGER,读写00024,读写,[0区]输出继电器,NULL,24
虚拟输入4,INTEGER,读写00025,读写,[0区]输出继电器,NULL,25
虚拟输入5,INTEGER,读写00026,读写,[0区]输出继电器,NULL,26
虚拟输入6,INTEGER,读写00027,读写,[0区]输出继电器,NULL,27
虚拟输入7,INTEGER,读写00028,读写,[0区]输出继电器,NULL,28
,SINGLE,读写4WUB0001,读写,[4区]输出寄存器,16位 无符号二进制,1
,SINGLE,读写4WUB0002,读写,[4区]输出寄存器,16位 无符号二进制,2
,SINGLE,读写4WUB0003,读写,[4区]输出寄存器,16位 无符号二进制,3
,SINGLE,读写4WUB0004,读写,[4区]输出寄存器,16位 无符号二进制,4
,SINGLE,读写4WUB0005,读写,[4区]输出寄存器,16位 无符号二进制,5
,SINGLE,读写4WUB0006,读写,[4区]输出寄存器,16位 无符号二进制,6
,SINGLE,读写4WUB0007,读写,[4区]输出寄存器,16位 无符号二进制,7
,SINGLE,读写4WUB0008,读写,[4区]输出寄存器,16位 无符号二进制,8
,SINGLE,读写4WUB0009,读写,[4区]输出寄存器,16位 无符号二进制,9
,SINGLE,读写4WUB0010,读写,[4区]输出寄存器,16位 无符号二进制,10
,SINGLE,读写4WUB0011,读写,[4区]输出寄存器,16位 无符号二进制,11
,SINGLE,读写4WUB0012,读写,[4区]输出寄存器,16位 无符号二进制,12
,SINGLE,读写4WUB0013,读写,[4区]输出寄存器,16位 无符号二进制,13
,SINGLE,读写4WUB0014,读写,[4区]输出寄存器,16位 无符号二进制,14
,SINGLE,读写4WUB0015,读写,[4区]输出寄存器,16位 无符号二进制,15
,SINGLE,读写4WUB0016,读写,[4区]输出寄存器,16位 无符号二进制,16
,SINGLE,读写4WUB0017,读写,[4区]输出寄存器,16位 无符号二进制,17
,SINGLE,读写4WUB0018,读写,[4区]输出寄存器,16位 无符号二进制,18
,SINGLE,读写4WUB0019,读写,[4区]输出寄存器,16位 无符号二进制,19
,SINGLE,读写4WUB0020,读写,[4区]输出寄存器,16位 无符号二进制,20
,SINGLE,读写4WUB0021,读写,[4区]输出寄存器,16位 无符号二进制,21
,SINGLE,读写4WUB0022,读写,[4区]输出寄存器,16位 无符号二进制,22
